App,Review,Category
Kiwi,It's an amazing concept. Where everyone will be benefited.,['Positive Feedback on App Features and Rewards']
Kiwi,Good for quick payments and rewards,['Positive Feedback on App Features and Rewards']
Kiwi,I want to know the reason why my account is block,['Application Approval and Eligibility Issues']
Kiwi,"I have 780 Credit Score, but app says unable to fetch Credit Score.",['App Bugs and Technical Issues']
Kiwi,No provision for editing application worst app and customer service. Application get rejected,"['Application Approval and Eligibility Issues', 'Poor Customer Service', 'App Interface and User Experience']"
Kiwi,The worst app UPI payments keep failing Can't be trusted for payments They rejected my application due to a typo in address. Told me that I can edit the address but it shows application rejected My credit score is above 750 and don't have any bill lapses. The reason for low credit score or age are just excuses over their useless application development,"['Application Approval and Eligibility Issues', 'App Bugs and Technical Issues', 'Payment Processing Issues']"
Kiwi,"Easy to use, exceptional UI","['App Interface and User Experience', 'Positive Feedback on App Features and Rewards']"
Kiwi,"Useless application, just made for collecting your personal information, once u fullfill your pan, mob etc your application will be rejected, your data will be shared with other apps and you will start getting call from worthless people","['Application Approval and Eligibility Issues', 'Privacy and Data Concerns', 'Fraud Alerts and Scamming Concerns']"
Kiwi,App interface is very slow to load,"['App Interface and User Experience', 'App Bugs and Technical Issues']"
Kiwi,Good app and great offers.Love this credit card,['Positive Feedback on App Features and Rewards']
Kiwi,"App doesn't show any unbilled amount, just to check unbilled amount you need Yes bank iris app, isn't that LOL. WHO WILL ALWAYS CALCULATE THE UNBILLED FROM available limit VS. credit limit. App really needs to update.","['App Interface and User Experience', 'App Usability and Recommended Improvements']"
Kiwi,Today I started this app I think this is the best app,['Irrelevant/Spam']
Kiwi,Really good credit card application,['Positive Feedback on App Features and Rewards']
Kiwi,Good credit card 💳 but no cash Back 😞,"['Functional Limitations and Restrictions', 'Positive Feedback on App Features and Rewards']"
Kiwi,Sorry to edit my rating but after redeeming the points once and now I'm not getting any points for whatever transaction I'm doing,"['App Bugs and Technical Issues', 'Misleading Offers and Rewards Issues']"
Kiwi,800+ credit score. 100% emi and credit card ontime payments. Still the credit card application got rejected. What else do you want guys? ..... Thank God I already have credit cards from 3 major indian banks.,['Application Approval and Eligibility Issues']
Kiwi,Not able to add bank account of my choice. Lot's of bugs. App ui waste. Full of bugs..,"['App Bugs and Technical Issues', 'App Interface and User Experience', 'Credit Card and Banking Integration Challenges']"
Kiwi,"One of the worst upi app out there, customer service is non existant, if you email them, the reply will come after 4-5 days. No customer service number, no clarity on rewards, been trying to access my statement but the app wont even let me do that. Its pathetic, so if you are looking for some peace of mind in your transactions, i would recommend avoiding Kiwi","['Poor Customer Service', 'App Bugs and Technical Issues', 'App Interface and User Experience']"
Kiwi,Faltu gayab isase achcha to SBI ka vah mujhe ke loan de raha hai aur yah Tel a raha hai kya delay payment,"['Poor Customer Service', 'Payment Processing Issues']"
Kiwi,have to give 5 star but m not able to manage card through app that's why given 4 star.,"['App Bugs and Technical Issues', 'App Usability and Recommended Improvements']"
Kiwi,"Why you are not showing the current outstanding amount. In every other similar apps they showing total credit limit, remaining credit balance and total outstanding amount. If you can please update the app to show the total spends.","['App Interface and User Experience', 'App Usability and Recommended Improvements']"
Kiwi,Please add a zooming option while scanning QR codes.,['App Usability and Recommended Improvements']
Kiwi,"More tedious in adding your account for transaction. Even after adding the account, I can't able make transaction. They are saying You can get rewards only if you make transaction, if can't they we are not responsible","['Application Approval and Eligibility Issues', 'Functional Limitations and Restrictions', 'App Bugs and Technical Issues']"
Kiwi,Running fraud offers on cashkaro,"['Misleading Offers and Rewards Issues', 'Fraud Alerts and Scamming Concerns']"
Kiwi,"Kiwi App with Axis Bank Credit Card is not beneficial, but Kiwi App with Yes Bank aKiwi Card might be benificial. But problem is that with Kiwi App it is not allow for second Kiwi Card of Yes Bank, if you are already Axis Bank Kiwi Card holder. Even I have blocked and cancelled Axis Bank kiwi Card, Kiwi App is not allowing or giving option to apply for Yes Bank Neon Kiwi Card.","['Application Approval and Eligibility Issues', 'Functional Limitations and Restrictions']"
Kiwi,Skips cashback even the txn is eligible.. false promise and diverse terms and conditions.,"['Application Approval and Eligibility Issues', 'Misleading Offers and Rewards Issues']"
Kiwi,Good but why u rejected my credit card?,"['Application Approval and Eligibility Issues', 'Credit Card and Banking Integration Challenges']"
Kiwi,Do not install you will really be in pain as customer support gives lame reasons. Worst Customer Support. you won't receive any cashback post few transactions.. if you raise any helpline tickets they just don't respond properly or ignore it completely. I am so frustrated with this application and Customer support.. Really bad experience.,"['Poor Customer Service', 'Misleading Offers and Rewards Issues']"
